Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR25384562,2023-07-22 10:24:55,2023-07-21 14:30:06,392951,187044676,392951,476,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384562/SRR25384562.lite.1,SRX21122436,Lucas0001,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388515,SAMN35789368,simple,410658,soil metagenome,LUCAS_1,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,38E8DE844FAABBEE8368D1C21001761E,895A649A296A76F339DC86772D8F6885
SRR25384561,2023-07-22 10:24:55,2023-07-21 14:30:22,614886,292685736,614886,476,95,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384561/SRR25384561.lite.1,SRX21122437,Lucas0002,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388516,SAMN35789369,simple,410658,soil metagenome,LUCAS_2,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,ECBB440919BDE7CC702B5EF326BCC709,170E2F94C1728ED7E40C860FC5061093
SRR25384560,2023-07-22 10:24:55,2023-07-21 14:29:59,449692,214053392,449692,476,86,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384560/SRR25384560.lite.1,SRX21122438,Lucas0011,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388517,SAMN35789378,simple,410658,soil metagenome,LUCAS_11,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,9AA6C848CB0F2F7A056AEC8E89593245,4CCD179E634847D69DE0C973C10B8302
SRR25384559,2023-07-22 10:24:55,2023-07-21 14:29:33,452771,215518996,452771,476,71,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384559/SRR25384559.lite.1,SRX21122439,Lucas0101,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388518,SAMN35789468,simple,410658,soil metagenome,LUCAS_101,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,8C2BAA64557355F1F87D2107012657F6,A683356D8A7F5BB702D660B033AFAB97
SRR25384558,2023-07-22 10:24:55,2023-07-21 14:30:06,333832,158904032,333832,476,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384558/SRR25384558.lite.1,SRX21122440,Lucas0102,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388519,SAMN35789469,simple,410658,soil metagenome,LUCAS_102,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,A683124FA247010F8667D0C4E38FBE8F,36D6FA37D9D70879A4D836FD01D1D869
SRR25384557,2023-07-22 10:24:55,2023-07-21 14:30:03,249876,118940976,249876,476,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384557/SRR25384557.lite.1,SRX21122441,Lucas0103,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388520,SAMN35789470,simple,410658,soil metagenome,LUCAS_103,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,AEB05481034377E00CDB66EE45911BC9,F8CCF4487E006860227BB0CEBADB0B88
SRR25384556,2023-07-22 10:24:54,2023-07-21 14:30:03,186012,88541712,186012,476,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384556/SRR25384556.lite.1,SRX21122442,Lucas0104,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388521,SAMN35789471,simple,410658,soil metagenome,LUCAS_104,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,D08228454C353343B7ABB503717B93EB,6ECF4710AB9A875287573D6D1E0A6683
SRR25384555,2023-07-22 10:24:54,2023-07-21 14:29:56,520146,247589496,520146,476,82,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384555/SRR25384555.lite.1,SRX21122443,Lucas0105,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388522,SAMN35789472,simple,410658,soil metagenome,LUCAS_105,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,9CD3838BFB3219A7480A288AB8386133,70691A178E8C2D02A38F2383D68BF7C7
SRR25384554,2023-07-22 10:24:54,2023-07-21 14:30:03,248978,118513528,248978,476,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384554/SRR25384554.lite.1,SRX21122444,Lucas0106,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388523,SAMN35789473,simple,410658,soil metagenome,LUCAS_106,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,988D2E816BBFA910632411E9B0667D3B,12BAFFAFB2E12437B0E053D2315D1941
SRR25384553,2023-07-22 10:24:54,2023-07-21 14:30:03,380835,181277460,380835,476,60,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384553/SRR25384553.lite.1,SRX21122445,Lucas0107,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388524,SAMN35789474,simple,410658,soil metagenome,LUCAS_107,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,2F200DD98EEF9B3C33153EE80D8F9233,B16BC92F10D87E32B3FDA61ABD89132D
SRR25384552,2023-07-22 10:24:54,2023-07-21 14:30:22,654483,311533908,654483,476,103,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384552/SRR25384552.lite.1,SRX21122446,Lucas0108,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388525,SAMN35789475,simple,410658,soil metagenome,LUCAS_108,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,CEC3AA9576E1D4D9CDF5D39B80FF02F8,8B56387A099EDF6A31EA0C46A0D74BFB
SRR25384551,2023-07-22 10:24:54,2023-07-21 14:30:00,465999,221815524,465999,476,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384551/SRR25384551.lite.1,SRX21122447,Lucas0109,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388526,SAMN35789476,simple,410658,soil metagenome,LUCAS_109,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,5D3538D2C3B18EB88EF0E0D72E0B32B0,D09A8B09F3E9D97D46658BABE2BFCB0C
SRR25384550,2023-07-22 10:24:54,2023-07-21 14:29:44,109611,52174836,109611,476,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384550/SRR25384550.lite.1,SRX21122448,Lucas0110,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388527,SAMN35789477,simple,410658,soil metagenome,LUCAS_110,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,4A46D59670689CF2D2365C2DEF033EF0,C8B4CAB31DDD5AC049A1EE9838077CD0
SRR25384549,2023-07-22 10:24:54,2023-07-21 14:30:01,481254,229076904,481254,476,75,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384549/SRR25384549.lite.1,SRX21122449,Lucas0012,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388528,SAMN35789379,simple,410658,soil metagenome,LUCAS_12,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,6CD030665C540DAC9EC2322A4607721C,D44BD8A17D395177546F50DEE2032DA1
SRR25384548,2023-07-22 10:24:54,2023-07-21 14:30:05,207248,98650048,207248,476,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384548/SRR25384548.lite.1,SRX21122450,Lucas0111,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388529,SAMN35789478,simple,410658,soil metagenome,LUCAS_111,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,068713408E0149AD7D0E5AD506164660,1C8E7D9F57B6C1974F34AD499E087A97
SRR25384547,2023-07-22 10:24:54,2023-07-21 14:30:02,192997,91866572,192997,476,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384547/SRR25384547.lite.1,SRX21122451,Lucas0112,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388530,SAMN35789479,simple,410658,soil metagenome,LUCAS_112,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,D48EA3B88A0F29DC202C7CC2C9D97A69,4B94009D1ECA3DB912480A5397D387B9
SRR25384546,2023-07-22 10:24:54,2023-07-21 14:30:01,195852,93225552,195852,476,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384546/SRR25384546.lite.1,SRX21122452,Lucas0113,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388531,SAMN35789480,simple,410658,soil metagenome,LUCAS_113,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,603F65ED31CEC0BED374ED6250629C04,F438C822A8A86DD881B21813EDA50CB6
SRR25384545,2023-07-22 10:24:54,2023-07-21 14:30:15,279762,133166712,279762,476,44,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384545/SRR25384545.lite.1,SRX21122453,Lucas0114,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388532,SAMN35789481,simple,410658,soil metagenome,LUCAS_114,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,393A042ABA8806E16781C55DA343578F,6532B9E514DB4CF2B60F16684DCD7A35
